DATE,OPEN,HIGH,LOW,CLOSE,SHARES,TRADES
18-10-2019,141.00,144.50,140.00,143.50,334085,2744
17-10-2019,142.00,142.00,139.10,141.35,372941,2859
16-10-2019,140.20,142.90,138.30,141.60,1382593,5712
15-10-2019,136.60,139.40,135.40,138.75,678442,5184
14-10-2019,129.55,136.40,128.95,135.20,629282,4549
11-10-2019,125.45,129.80,125.45,129.10,391542,2614
10-10-2019,126.50,127.00,125.10,125.40,316593,1589
09-10-2019,126.70,127.10,123.95,125.95,1278831,4001
07-10-2019,130.00,130.00,125.55,126.45,484702,2854
04-10-2019,130.25,132.70,127.35,129.60,838187,6834
03-10-2019,127.90,129.75,125.30,128.30,369295,2828
01-10-2019,132.65,133.35,126.85,128.25,391286,2221
30-09-2019,131.45,132.85,128.50,131.90,827593,3942
27-09-2019,137.45,137.45,130.50,131.45,1056425,5087
26-09-2019,135.00,138.00,131.20,136.90,637669,3278
25-09-2019,132.70,133.65,130.80,131.45,414386,2727
24-09-2019,137.00,139.75,132.95,133.45,919843,5809
23-09-2019,136.90,140.65,134.80,136.25,1338181,5802
20-09-2019,125.00,134.95,121.65,133.60,1650281,5397
19-09-2019,127.00,127.50,123.70,124.40,503814,2592
18-09-2019,130.00,130.05,126.00,127.00,490238,3043
17-09-2019,131.00,131.95,129.10,129.70,531859,2690
16-09-2019,131.40,132.90,128.60,130.60,1198479,8717
13-09-2019,126.80,129.30,125.35,128.80,1167230,4567
11-09-2019,130.00,130.85,125.10,125.70,538856,3241
09-09-2019,125.00,129.85,125.00,129.50,352961,3426
06-09-2019,127.00,128.40,124.50,127.85,1756643,7129
05-09-2019,119.10,129.80,119.10,125.20,1649311,9732
04-09-2019,117.85,119.40,115.55,119.05,970771,6341
03-09-2019,121.20,121.20,116.60,117.15,468041,3829
30-08-2019,123.90,125.65,119.65,121.20,413721,4573
29-08-2019,121.00,124.25,119.55,123.40,254546,3259
28-08-2019,125.50,125.95,120.50,121.15,382974,3087
27-08-2019,123.25,126.45,123.25,125.70,739709,3472
26-08-2019,124.70,125.00,119.70,123.65,346787,3206
23-08-2019,116.00,123.40,115.75,122.30,717640,4433
22-08-2019,121.90,121.90,116.25,116.85,420880,7261
21-08-2019,125.10,125.35,119.70,121.15,358656,2740
20-08-2019,127.00,127.00,124.45,125.05,213094,1436
19-08-2019,128.40,128.50,126.10,126.25,374558,1703
16-08-2019,126.40,129.10,126.40,128.15,591670,2638
14-08-2019,129.00,129.80,125.75,126.75,507115,3079
13-08-2019,130.95,133.55,125.70,128.30,381486,2241
09-08-2019,131.25,132.45,129.70,130.55,291132,1408
08-08-2019,130.70,132.10,127.90,130.95,291780,2542
07-08-2019,131.60,131.75,128.50,130.50,252622,1547
06-08-2019,131.25,132.50,129.50,131.45,210029,1327
05-08-2019,132.00,133.00,130.20,131.25,246133,1966
01-08-2019,139.50,139.70,135.25,136.95,244746,1637
31-07-2019,138.00,139.65,136.30,138.90,209674,1174
30-07-2019,140.10,143.25,138.20,138.80,212175,1280
29-07-2019,142.40,142.50,138.50,140.25,392646,1614
26-07-2019,143.35,144.35,141.35,141.85,439648,2119
25-07-2019,144.00,144.70,141.50,143.85,204632,1284
24-07-2019,145.00,145.80,142.90,143.55,255363,1262
23-07-2019,146.55,147.80,144.20,144.55,1275346,2187
22-07-2019,141.15,147.40,140.85,146.55,726417,2706
19-07-2019,145.65,145.70,140.50,144.10,1037161,4109
18-07-2019,150.50,150.60,143.10,143.50,511399,3094
17-07-2019,152.05,153.60,149.00,149.85,389838,2284
